electric_grid_name,line_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
singapore_geylang,81,singapore_line_type_3,289,72,1,0,0,0.12070811971082089
singapore_geylang,82,singapore_line_type_3,72,35,1,0,0,0.11359407040577238
singapore_geylang,83,singapore_line_type_3,280,77,1,0,0,0.11742832068039001
singapore_geylang,84,singapore_line_type_3,280,129,1,0,0,0.14059167902156483
singapore_geylang,85,singapore_line_type_3,1,70,1,0,0,1.3617209684101093
singapore_geylang,86,singapore_line_type_1,70,23,1,0,0,0.4000078275965451
singapore_geylang,87,singapore_line_type_1,23,131,1,0,0,0.47401466955012234
singapore_geylang,88,singapore_line_type_1,131,128,1,0,0,0.27549649110571317
singapore_geylang,89,singapore_line_type_1,128,308,1,0,0,0.17700655067923915
singapore_geylang,90,singapore_line_type_3,308,95,1,0,0,0.2321092415408346
singapore_geylang,91,singapore_line_type_3,95,309,1,0,0,0.12660999451726182
singapore_geylang,92,singapore_line_type_3,309,304,1,0,0,0.1405797751289922
singapore_geylang,93,singapore_line_type_3,304,301,1,0,0,0.12915216814869993
singapore_geylang,94,singapore_line_type_3,301,303,1,0,0,0.12310775336445079
singapore_geylang,95,singapore_line_type_3,303,300,1,0,0,0.1371827574621435
singapore_geylang,96,singapore_line_type_3,300,293,1,0,0,0.12758493443585317
singapore_geylang,97,singapore_line_type_3,293,326,1,0,0,0.2102793200369321
singapore_geylang,98,singapore_line_type_3,326,327,1,0,0,0.106827466847941
singapore_geylang,99,singapore_line_type_3,327,325,1,0,0,0.1551616553235914
singapore_geylang,100,singapore_line_type_3,308,101,1,0,0,0.1891536141961073
singapore_geylang,101,singapore_line_type_3,101,97,1,0,0,0.17917381932864304
singapore_geylang,102,singapore_line_type_3,325,321,1,0,0,0.26257584465069495
singapore_geylang,103,singapore_line_type_3,325,324,1,0,0,0.2019989687550969
singapore_geylang,104,singapore_line_type_3,23,64,1,0,0,0.14470051353091065
singapore_geylang,105,singapore_line_type_3,97,98,1,0,0,0.12766317947118228
singapore_geylang,106,singapore_line_type_3,95,96,1,0,0,0.15312963039142977
singapore_geylang,107,singapore_line_type_3,64,65,1,0,0,0.13124186428124085
singapore_geylang,108,singapore_line_type_3,326,320,1,0,0,0.29683021975020407
singapore_geylang,109,singapore_line_type_1,1,274,1,0,0,0.9630103018484847
singapore_geylang,110,singapore_line_type_1,274,367,1,0,0,0.14544850481148744
singapore_geylang,111,singapore_line_type_1,367,329,1,0,0,0.1108820959511067
singapore_geylang,112,singapore_line_type_3,329,370,1,0,0,0.059613718627992904
singapore_geylang,113,singapore_line_type_3,370,369,1,0,0,0.0698446038059086
singapore_geylang,114,singapore_line_type_1,1,347,1,0,0,0.4067614634208263
singapore_geylang,115,singapore_line_type_1,347,346,1,0,0,0.12834945886995403
singapore_geylang,116,singapore_line_type_1,346,348,1,0,0,0.09605662512292189
singapore_geylang,117,singapore_line_type_1,348,349,1,0,0,0.07703512745342778
singapore_geylang,118,singapore_line_type_1,349,363,1,0,0,0.27612784210612024
singapore_geylang,119,singapore_line_type_1,363,330,1,0,0,0.16921770921261972
singapore_geylang,120,singapore_line_type_1,330,338,1,0,0,0.09863527685752198
singapore_geylang,121,singapore_line_type_1,338,355,1,0,0,0.1160127103809304
singapore_geylang,122,singapore_line_type_3,355,379,1,0,0,0.09871325297243395
singapore_geylang,123,singapore_line_type_3,379,377,1,0,0,0.09915992266864612
singapore_geylang,124,singapore_line_type_3,1,353,1,0,0,0.5145891469576934
singapore_geylang,125,singapore_line_type_1,353,345,1,0,0,0.05666682729473444
singapore_geylang,126,singapore_line_type_1,345,357,1,0,0,0.16923258421044843
singapore_geylang,127,singapore_line_type_1,357,374,1,0,0,0.1907283914535602
singapore_geylang,128,singapore_line_type_1,374,331,1,0,0,0.28613595614941956
singapore_geylang,129,singapore_line_type_3,374,373,1,0,0,0.15367485607337297
singapore_geylang,130,singapore_line_type_3,373,354,1,0,0,0.24599049465914122
singapore_geylang,131,singapore_line_type_3,354,375,1,0,0,0.2982467439470717
singapore_geylang,132,singapore_line_type_3,375,332,1,0,0,0.45609023918314684
singapore_geylang,133,singapore_line_type_3,331,342,1,0,0,0.11898566112084752
singapore_geylang,134,singapore_line_type_3,357,358,1,0,0,0.09218969009978895
singapore_geylang,135,singapore_line_type_3,332,376,1,0,0,0.25854887604783366
singapore_geylang,136,singapore_line_type_3,342,341,1,0,0,0.41255531058689576
singapore_geylang,137,singapore_line_type_1,1,359,1,0,0,0.6662417100940067
singapore_geylang,138,singapore_line_type_1,359,333,1,0,0,0.3252228299933031
singapore_geylang,139,singapore_line_type_1,333,334,1,0,0,0.20240342816078366
singapore_geylang,140,singapore_line_type_1,334,335,1,0,0,0.23971464061729478
singapore_geylang,141,singapore_line_type_1,335,336,1,0,0,0.1777381334978145
singapore_geylang,142,singapore_line_type_1,336,337,1,0,0,0.13039211309008086
singapore_geylang,143,singapore_line_type_1,337,378,1,0,0,0.10631160604285042
singapore_geylang,144,singapore_line_type_1,378,387,1,0,0,0.12856968701489394
singapore_geylang,145,singapore_line_type_1,387,386,1,0,0,0.1509719698848912
singapore_geylang,146,singapore_line_type_1,386,388,1,0,0,0.15355269527393342
singapore_geylang,147,singapore_line_type_1,388,390,1,0,0,0.09388504904488194
singapore_geylang,148,singapore_line_type_1,390,340,1,0,0,0.1810695409311239
singapore_geylang,149,singapore_line_type_1,340,344,1,0,0,0.1142804450457015
singapore_geylang,150,singapore_line_type_3,344,389,1,0,0,0.106078742148727
singapore_geylang,151,singapore_line_type_3,389,328,1,0,0,0.16964522095587956
singapore_geylang,152,singapore_line_type_3,386,384,1,0,0,0.12981742795841528
singapore_geylang,153,singapore_line_type_3,384,385,1,0,0,0.1086492676342643
singapore_geylang,154,singapore_line_type_3,387,339,1,0,0,0.12526782579991988
singapore_geylang,155,singapore_line_type_3,339,382,1,0,0,0.07363271188490446
singapore_geylang,156,singapore_line_type_3,385,383,1,0,0,0.08806012872271471
singapore_geylang,157,singapore_line_type_1,1,361,1,0,0,0.8017601445379517
singapore_geylang,158,singapore_line_type_1,361,360,1,0,0,0.10281699933073629
singapore_geylang,159,singapore_line_type_1,360,362,1,0,0,0.10448162228153998
singapore_geylang,160,singapore_line_type_1,362,365,1,0,0,0.09089402894182425
singapore_geylang,161,singapore_line_type_1,365,364,1,0,0,0.11778628873929513
singapore_geylang,162,singapore_line_type_1,364,380,1,0,0,0.10537312073024653
singapore_geylang,163,singapore_line_type_1,380,356,1,0,0,0.1259539702957092
singapore_geylang,164,singapore_line_type_3,365,366,1,0,0,0.10037730765944289
singapore_geylang,165,singapore_line_type_3,365,368,1,0,0,0.088172928446966
singapore_geylang,166,singapore_line_type_3,356,381,1,0,0,0.1275496614598427
singapore_geylang,167,singapore_line_type_1,2,71,1,0,0,0.42767878163319945
singapore_geylang,168,singapore_line_type_1,71,169,1,0,0,0.2755558585673536
singapore_geylang,169,singapore_line_type_1,169,170,1,0,0,0.11360390147120722
singapore_geylang,170,singapore_line_type_1,170,172,1,0,0,0.14309984060690478
singapore_geylang,171,singapore_line_type_1,172,135,1,0,0,0.06136161969891981
singapore_geylang,172,singapore_line_type_3,135,154,1,0,0,0.05584980506574839
singapore_geylang,173,singapore_line_type_3,154,155,1,0,0,0.1211007159115621
singapore_geylang,174,singapore_line_type_3,170,173,1,0,0,0.1548010923021664
singapore_geylang,175,singapore_line_type_3,135,153,1,0,0,0.0514093759328182
singapore_geylang,176,singapore_line_type_1,2,110,1,0,0,0.1489483267609159
singapore_geylang,177,singapore_line_type_1,110,219,1,0,0,0.26991911031027005
singapore_geylang,178,singapore_line_type_1,219,218,1,0,0,0.11154967305917061
singapore_geylang,179,singapore_line_type_1,218,247,1,0,0,0.1197660645571733
singapore_geylang,180,singapore_line_type_1,247,213,1,0,0,0.48442228476843135
singapore_geylang,181,singapore_line_type_1,213,206,1,0,0,0.12510355305234921
singapore_geylang,182,singapore_line_type_3,247,217,1,0,0,0.18966775796466404
singapore_geylang,183,singapore_line_type_3,2,117,1,0,0,0.42221913303690006
singapore_geylang,184,singapore_line_type_1,117,107,1,0,0,0.2428061435820574
singapore_geylang,185,singapore_line_type_3,107,106,1,0,0,0.10150156479375011
singapore_geylang,186,singapore_line_type_3,106,108,1,0,0,0.12433358367146088
singapore_geylang,187,singapore_line_type_3,108,264,1,0,0,0.19063692519900374
singapore_geylang,188,singapore_line_type_3,264,105,1,0,0,0.23623706530970393
singapore_geylang,189,singapore_line_type_3,107,118,1,0,0,0.1258762516664147
singapore_geylang,190,singapore_line_type_3,118,8,1,0,0,0.12158551585660439
singapore_geylang,191,singapore_line_type_3,105,263,1,0,0,0.12795359511869167
singapore_geylang,192,singapore_line_type_3,8,157,1,0,0,0.23698841367957416
singapore_geylang,193,singapore_line_type_1,2,134,1,0,0,0.7213443657724518
singapore_geylang,194,singapore_line_type_3,134,166,1,0,0,0.047486954352351195
singapore_geylang,195,singapore_line_type_3,166,165,1,0,0,0.05575247461574839
singapore_geylang,196,singapore_line_type_3,165,168,1,0,0,0.10766494179573151
singapore_geylang,197,singapore_line_type_3,168,151,1,0,0,0.11200862429917988
singapore_geylang,198,singapore_line_type_3,151,152,1,0,0,0.07493035948947163
singapore_geylang,199,singapore_line_type_3,134,167,1,0,0,0.07270389019165797
singapore_geylang,200,singapore_line_type_1,2,158,1,0,0,0.7761369653548934
singapore_geylang,201,singapore_line_type_1,158,208,1,0,0,0.21948137915241964
singapore_geylang,202,singapore_line_type_3,208,121,1,0,0,0.11738922167625603
singapore_geylang,203,singapore_line_type_3,121,55,1,0,0,0.2041577376140891
singapore_geylang,204,singapore_line_type_3,55,42,1,0,0,0.10408050803716819
singapore_geylang,205,singapore_line_type_1,2,160,1,0,0,0.5717726783554952
singapore_geylang,206,singapore_line_type_1,160,210,1,0,0,0.1846160492373305
singapore_geylang,207,singapore_line_type_3,210,161,1,0,0,0.12266743106559037
singapore_geylang,208,singapore_line_type_3,161,159,1,0,0,0.10668304791980668
singapore_geylang,209,singapore_line_type_3,161,143,1,0,0,0.1428731276931243
singapore_geylang,210,singapore_line_type_1,2,163,1,0,0,0.6133042961632098
singapore_geylang,211,singapore_line_type_1,163,164,1,0,0,0.1135642745376786
singapore_geylang,212,singapore_line_type_1,164,150,1,0,0,0.16072761833150928
singapore_geylang,213,singapore_line_type_1,150,148,1,0,0,0.15760918195317092
singapore_geylang,214,singapore_line_type_1,148,146,1,0,0,0.09762082862248518
singapore_geylang,215,singapore_line_type_1,146,76,1,0,0,0.07610717667477922
singapore_geylang,216,singapore_line_type_3,76,145,1,0,0,0.06668894659558888
singapore_geylang,217,singapore_line_type_1,2,171,1,0,0,0.736864493026683
singapore_geylang,218,singapore_line_type_1,171,104,1,0,0,0.1886419376367068
singapore_geylang,219,singapore_line_type_1,104,156,1,0,0,0.13553050334785674
singapore_geylang,220,singapore_line_type_1,156,132,1,0,0,0.11825024345039353
singapore_geylang,221,singapore_line_type_1,2,310,1,0,0,0.44964489803059066
singapore_geylang,222,singapore_line_type_1,310,162,1,0,0,0.34501099555355036
singapore_geylang,223,singapore_line_type_1,162,144,1,0,0,0.13076841860087
singapore_geylang,224,singapore_line_type_1,144,133,1,0,0,0.03398365301182253
singapore_geylang,225,singapore_line_type_1,3,82,1,0,0,0.42609762365618753
singapore_geylang,226,singapore_line_type_3,82,186,1,0,0,0.17438657968362808
singapore_geylang,227,singapore_line_type_3,186,141,1,0,0,0.20137711737465808
singapore_geylang,228,singapore_line_type_3,3,136,1,0,0,0.4081501715763235
singapore_geylang,229,singapore_line_type_3,136,137,1,0,0,0.19148249646008197
singapore_geylang,230,singapore_line_type_3,137,194,1,0,0,0.20857091746911685
singapore_geylang,231,singapore_line_type_3,194,201,1,0,0,0.28996833463729266
singapore_geylang,232,singapore_line_type_3,201,202,1,0,0,0.10117780544386179
singapore_geylang,233,singapore_line_type_3,136,120,1,0,0,0.16461839171723197
singapore_geylang,234,singapore_line_type_3,120,119,1,0,0,0.1461826143913557
singapore_geylang,235,singapore_line_type_3,119,112,1,0,0,0.1297740723249972
singapore_geylang,236,singapore_line_type_3,112,111,1,0,0,0.19440649955699632
singapore_geylang,237,singapore_line_type_3,202,84,1,0,0,0.17164873387677088
singapore_geylang,238,singapore_line_type_3,111,63,1,0,0,0.25782152534196545
singapore_geylang,239,singapore_line_type_3,63,91,1,0,0,0.16830094873853
singapore_geylang,240,singapore_line_type_3,91,48,1,0,0,0.1352241320444184
singapore_geylang,241,singapore_line_type_3,48,94,1,0,0,0.14587871680920972
singapore_geylang,242,singapore_line_type_3,94,89,1,0,0,0.19199394659310035
singapore_geylang,243,singapore_line_type_3,202,200,1,0,0,0.1827572781648358
singapore_geylang,244,singapore_line_type_3,89,179,1,0,0,0.34878961361373806
singapore_geylang,245,singapore_line_type_3,200,100,1,0,0,0.11280044031088529
singapore_geylang,246,singapore_line_type_3,179,88,1,0,0,0.24730785146577297
singapore_geylang,247,singapore_line_type_3,63,61,1,0,0,0.14898014032086015
singapore_geylang,248,singapore_line_type_3,111,50,1,0,0,0.2110930024535718
singapore_geylang,249,singapore_line_type_3,88,199,1,0,0,0.1285338845730116
singapore_geylang,250,singapore_line_type_3,100,90,1,0,0,0.09182863924800838
singapore_geylang,251,singapore_line_type_3,88,87,1,0,0,0.08362246562360709
singapore_geylang,252,singapore_line_type_3,61,44,1,0,0,0.10487483776241396
singapore_geylang,253,singapore_line_type_3,50,49,1,0,0,0.18038004054492915
singapore_geylang,254,singapore_line_type_3,48,47,1,0,0,0.1568837476325512
singapore_geylang,255,singapore_line_type_3,199,122,1,0,0,0.1343459563985615
singapore_geylang,256,singapore_line_type_3,87,25,1,0,0,0.15064836653856123
